,idstring,sample_date,sample_strain,virus_label,fluorophore_label,annotation_space,soma_atlas_id,axonal_endpoint_dict
0,AA0001,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,974,"{'count_625': 10, 'count_648': 15, 'count_974': 29, 'count_1102': 24, 'count_945': 4, 'count_1058': 6, 'count_857': 1, 'count_672': 241, 'count_422': 2, 'count_128': 1, 'count_313': 2, 'count_685': 1, 'count_549': 2, 'count_366': 1, 'count_1097': 1, 'count_364': 1, 'count_381': 1, 'count_931': 4, 'count_1031': 1, 'count_1009': 1, 'count_1022': 1, 'count_262': 1, 'count_1020': 8, 'count_733': 1, 'count_484682512': 2, 'count_882': 1, 'count_844': 6, 'count_767': 3, 'count_1021': 1, 'count_526157196': 3, 'count_440': 1, 'count_878': 10, 'count_657': 3, 'count_854': 2}"
1,AA0002,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,648,"{'count_625': 24, 'count_648': 42, 'count_854': 26, 'count_943': 122, 'count_320': 9, 'count_1128': 1, 'count_450': 7, 'count_182305697': 1, 'count_182305693': 1, 'count_113': 8, 'count_844': 7, 'count_484682516': 3, 'count_940': 1, 'count_962': 14, 'count_672': 140, 'count_1021': 2, 'count_767': 13, 'count_806': 11, 'count_1035': 6, 'count_862': 1, 'count_873': 3, 'count_1090': 3, 'count_1106': 1, 'count_600': 2, 'count_945': 3}"
2,AA0003,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,943,"{'count_943': 151, 'count_648': 38, 'count_844': 2, 'count_484682516': 1, 'count_873': 2, 'count_1035': 37, 'count_1090': 8, 'count_806': 15, 'count_959': 3, 'count_862': 3, 'count_600': 2, 'count_678': 1, 'count_289': 2, 'count_234': 1, 'count_729': 1, 'count_893': 1, 'count_320': 6, 'count_625': 3, 'count_854': 10, 'count_577': 1, 'count_1128': 1}"
3,AA0004,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,648,"{'count_625': 20, 'count_648': 40, 'count_943': 70, 'count_577': 6, 'count_854': 31, 'count_844': 9, 'count_1021': 2, 'count_672': 57, 'count_484682516': 2, 'count_857': 1, 'count_344': 1, 'count_484682512': 1, 'count_950': 2, 'count_657': 3, 'count_182305697': 1}"
4,AA0005,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,844,"{'count_1101': 2, 'count_783': 3, 'count_1108': 4, 'count_844': 121, 'count_648': 47, 'count_767': 5, 'count_1021': 13, 'count_940': 5, 'count_484682516': 5, 'count_889': 13, 'count_484682512': 2, 'count_672': 7, 'count_1090': 1, 'count_862': 1, 'count_625': 7, 'count_945': 35, 'count_1102': 10, 'count_1070': 3, 'count_1038': 7, 'count_182305709': 15, 'count_1026': 1, 'count_182305705': 2, 'count_882': 1, 'count_943': 2}"
5,AA0006,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,943,"{'count_1108': 1, 'count_767': 18, 'count_844': 2, 'count_648': 31, 'count_1106': 3, 'count_1058': 1, 'count_163': 17, 'count_1010': 1, 'count_187': 1, 'count_344': 2, 'count_943': 35}"
6,AA0007,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,854,"{'count_484682512': 1, 'count_844': 8, 'count_648': 48, 'count_625': 25, 'count_945': 6, 'count_974': 2, 'count_577': 2, 'count_854': 36, 'count_943': 24, 'count_320': 3, 'count_450': 1}"
7,AA0008,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,854,"{'count_962': 6, 'count_767': 9, 'count_1021': 1, 'count_844': 6, 'count_943': 55, 'count_648': 27, 'count_625': 25, 'count_974': 5, 'count_945': 3, 'count_1102': 3, 'count_1090': 11, 'count_806': 2, 'count_1035': 3, 'count_862': 1, 'count_182305705': 1, 'count_577': 3, 'count_854': 42, 'count_838': 3, 'count_182305697': 6, 'count_558': 1, 'count_657': 3, 'count_950': 1, 'count_182305693': 1}"
8,AA0009,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,943,"{'count_1128': 8, 'count_648': 28, 'count_113': 9, 'count_1030': 1, 'count_943': 75, 'count_844': 1, 'count_320': 6, 'count_625': 4, 'count_1094': 1, 'count_854': 13, 'count_450': 5}"
9,AA0010,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,767,"{'count_1021': 13, 'count_962': 26, 'count_767': 63, 'count_943': 5, 'count_648': 2}"
10,AA0011,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,767,"{'count_215': 17, 'count_128': 34, 'count_17': 6, 'count_10': 36, 'count_916': 1, 'count_26': 3, 'count_313': 20, 'count_797': 4, 'count_946': 1, 'count_804': 5, 'count_1097': 8, 'count_749': 1, 'count_214': 2, 'count_851': 2, 'count_924': 2, 'count_560581551': 5, 'count_930': 4, 'count_362': 1, 'count_1020': 2, 'count_575': 20, 'count_697': 4, 'count_795': 2, 'count_364': 1, 'count_102': 4, 'count_356': 3, 'count_194': 3, 'count_931': 10, 'count_574': 2, 'count_354': 3, 'count_83': 3, 'count_784': 2, 'count_1031': 1, 'count_470': 6, 'count_803': 5, 'count_262': 3, 'count_907': 3, 'count_685': 4, 'count_181': 5, 'count_549': 1, 'count_560581559': 1, 'count_366': 1, 'count_672': 40, 'count_956': 1, 'count_1021': 13, 'count_320': 45, 'count_182305693': 21, 'count_450': 17, 'count_878': 21, 'count_558': 17, 'count_None': 8, 'count_943': 2, 'count_648': 3, 'count_767': 59, 'count_656': 33, 'count_526157192': 2, 'count_526157196': 1, 'count_981': 3, 'count_962': 2, 'count_211': 1, 'count_935': 2}"
11,AA0012,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,1021,"{'count_931': 100, 'count_None': 3, 'count_1107': 32, 'count_354': 5, 'count_136': 42, 'count_852': 40, 'count_203': 1, 'count_1043': 1, 'count_190': 1, 'count_1048': 6, 'count_307': 1, 'count_661': 1, 'count_841': 1, 'count_1098': 1, 'count_771': 7, 'count_924': 2, 'count_313': 12, 'count_128': 15, 'count_17': 16, 'count_215': 1, 'count_10': 2, 'count_422': 1, 'count_1097': 2, 'count_364': 1, 'count_102': 3, 'count_797': 1, 'count_6': 1, 'count_470': 1, 'count_1031': 3, 'count_803': 1, 'count_559': 5, 'count_1085': 2, 'count_844': 4, 'count_1021': 44, 'count_882': 2, 'count_484682512': 2, 'count_484682516': 5, 'count_862': 13, 'count_893': 4, 'count_1090': 1, 'count_440': 1, 'count_767': 5, 'count_526157196': 3}"
12,AA0013,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,962,"{'count_988': 12, 'count_692': 2, 'count_427': 6, 'count_312782644': 1, 'count_888': 2, 'count_1045': 1, 'count_956': 1, 'count_583': 2, 'count_672': 2, 'count_19': 1, 'count_296': 1, 'count_1021': 6, 'count_767': 33, 'count_1015': 1, 'count_211': 1, 'count_962': 24, 'count_656': 6}"
13,AA0014,2015-06-19 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,962,"{'count_56': 2, 'count_672': 11, 'count_998': 1, 'count_767': 50, 'count_620': 1, 'count_363': 3, 'count_919': 1, 'count_526157192': 2, 'count_526157196': 1, 'count_962': 11, 'count_1015': 1, 'count_656': 3}"
14,AA0015,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,255,"{'count_262': 14, 'count_542': 116, 'count_None': 28, 'count_430': 52, 'count_687': 3, 'count_940': 2, 'count_590': 4, 'count_997': 9, 'count_443': 1, 'count_1037': 12, 'count_1084': 12, 'count_482': 1, 'count_274': 1, 'count_255': 3}"
15,AA0016,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,255,"{'count_255': 7, 'count_262': 7, 'count_1009': 1, 'count_672': 1, 'count_1084': 41, 'count_1037': 70, 'count_997': 8, 'count_502': 1, 'count_916': 7, 'count_313': 5, 'count_590': 3, 'count_687': 10, 'count_940': 1, 'count_542': 29, 'count_430': 64, 'count_274': 1, 'count_971': 1, 'count_443': 1, 'count_10': 2, 'count_906': 1, 'count_774': 4, 'count_312782558': 1, 'count_312782554': 6, 'count_401': 4, 'count_1066': 4}"
16,AA0017,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,351,"{'count_1097': 122, 'count_63': 7, 'count_88': 2, 'count_436': 21, 'count_194': 2, 'count_797': 18, 'count_802': 20, 'count_549': 14, 'count_576073704': 4, 'count_803': 2, 'count_262': 3, 'count_1104': 10, 'count_351': 3, 'count_1009': 1}"
17,AA0018,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,603,"{'count_542': 10, 'count_687': 8, 'count_430': 98, 'count_590': 9, 'count_622': 1, 'count_1084': 16, 'count_1037': 4, 'count_None': 5, 'count_997': 45, 'count_502': 2, 'count_10703': 12, 'count_632': 1, 'count_262': 9, 'count_549': 4, 'count_255': 1}"
18,AA0019,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,255,"{'count_351': 1, 'count_962': 5, 'count_1021': 1, 'count_687': 20, 'count_430': 43, 'count_542': 34, 'count_997': 8, 'count_None': 1, 'count_590': 9, 'count_940': 2, 'count_502': 10, 'count_1089': 3, 'count_466': 2, 'count_971': 1, 'count_1084': 36, 'count_10703': 8, 'count_1037': 2}"
19,AA0020,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,502,"{'count_52': 28, 'count_543': 5, 'count_664': 2, 'count_727': 7, 'count_139': 74, 'count_502': 15, 'count_312782644': 3, 'count_888': 1, 'count_20': 1, 'count_312782636': 1}"
20,AA0021,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,1037,"{'count_502': 20, 'count_443': 1, 'count_971': 1, 'count_139': 35, 'count_52': 59, 'count_664': 2, 'count_20': 6, 'count_543': 1, 'count_1089': 1}"
21,AA0022,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,443,"{'count_502': 7, 'count_687': 3, 'count_590': 1, 'count_1037': 2, 'count_997': 3, 'count_129': 2, 'count_542': 3, 'count_430': 1, 'count_10703': 9, 'count_484682470': 2, 'count_423': 2, 'count_463': 1, 'count_382': 8, 'count_443': 5, 'count_971': 2, 'count_843': 1}"
22,AA0023,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,1096,"{'count_767': 76, 'count_1021': 22, 'count_648': 4, 'count_844': 18, 'count_940': 3, 'count_862': 15, 'count_1038': 10, 'count_893': 1, 'count_1090': 1, 'count_1062': 3, 'count_889': 1, 'count_484682516': 1, 'count_945': 7, 'count_182305709': 2, 'count_882': 5, 'count_672': 47, 'count_351': 1}"
23,AA0024,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,1037,"{'count_526': 5, 'count_543': 35, 'count_664': 17, 'count_502': 4, 'count_312782636': 16, 'count_869': 3, 'count_902': 1, 'count_269': 1, 'count_312782644': 7, 'count_139': 4, 'count_52': 4, 'count_743': 1, 'count_727': 2, 'count_1037': 9}"
24,AA0025,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,971,"{'count_484682520': 2, 'count_902': 4, 'count_312782594': 1, 'count_797': 5, 'count_262': 1, 'count_10703': 4, 'count_706': 2, 'count_603': 1, 'count_149': 1, 'count_186': 2, 'count_595': 1, 'count_1031': 1, 'count_1097': 15, 'count_946': 23, 'count_830': 7, 'count_118': 1, 'count_549': 2, 'count_414': 1, 'count_924': 1, 'count_997': 1, 'count_None': 1, 'count_931': 1, 'count_971': 11, 'count_443': 3, 'count_940': 1, 'count_1037': 4, 'count_1089': 1, 'count_743': 1, 'count_590': 1}"
25,AA0026,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,1037,"{'count_1037': 15, 'count_664': 80, 'count_543': 27, 'count_526': 12, 'count_727': 27}"
26,AA0027,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,33,"{'count_565': 2, 'count_671': 5, 'count_774': 3, 'count_33': 14, 'count_257': 4, 'count_610': 2, 'count_965': 2, 'count_434': 1, 'count_778': 3, 'count_593': 8, 'count_821': 3, 'count_721': 3, 'count_805': 3, 'count_469': 1, 'count_940': 1, 'count_501': 1, 'count_41': 3}"
27,AA0028,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,721,"{'count_721': 23, 'count_821': 16, 'count_778': 14, 'count_565': 2}"
28,AA0029,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,603,"{'count_10703': 19, 'count_632': 36, 'count_10704': 27, 'count_1084': 8}"
29,AA0030,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,1037,"{'count_1037': 14, 'count_443': 3, 'count_727': 24, 'count_52': 3, 'count_28': 1, 'count_664': 52, 'count_543': 7, 'count_526': 3, 'count_139': 14, 'count_312782632': 1}"
30,AA0031,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,502,"{'count_502': 26, 'count_1004': 22, 'count_523': 1, 'count_1097': 1, 'count_1037': 5, 'count_1084': 83, 'count_743': 4, 'count_10703': 9, 'count_727': 1, 'count_664': 1, 'count_843': 3, 'count_632': 1}"
31,AA0032,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,1037,"{'count_664': 32, 'count_843': 2, 'count_543': 31, 'count_743': 1, 'count_727': 5, 'count_312782632': 1, 'count_526': 6, 'count_1037': 1, 'count_None': 1}"
32,AA0033,2017-01-15 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,1037,"{'count_1037': 10, 'count_727': 25, 'count_664': 30, 'count_543': 1, 'count_743': 1, 'count_502': 1}"
33,AA0034,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,648,"{'count_962': 71, 'count_656': 18, 'count_328': 11, 'count_767': 17, 'count_648': 21, 'count_1021': 12, 'count_320': 7, 'count_943': 16, 'count_667': 1, 'count_844': 9, 'count_672': 142, 'count_806': 6, 'count_873': 7, 'count_1106': 53, 'count_897': 8, 'count_1058': 9, 'count_344': 8, 'count_120': 4, 'count_163': 12, 'count_1010': 6, 'count_857': 6, 'count_314': 1, 'count_862': 1, 'count_1108': 4, 'count_36': 1, 'count_893': 1, 'count_484682516': 1, 'count_783': 3, 'count_56': 1, 'count_1102': 3, 'count_597': 3, 'count_814': 1, 'count_882': 2, 'count_996': 2, 'count_484682512': 1, 'count_889': 1, 'count_558': 10, 'count_838': 4, 'count_702': 1, 'count_878': 3, 'count_657': 5, 'count_182305693': 1, 'count_945': 1, 'count_526157196': 1}"
34,AA0035,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,648,"{'count_1102': 22, 'count_844': 75, 'count_648': 46, 'count_943': 3, 'count_1021': 65, 'count_767': 20, 'count_962': 1, 'count_940': 3, 'count_882': 1, 'count_1108': 2, 'count_672': 54, 'count_484682516': 1, 'count_862': 6, 'count_1035': 1, 'count_638': 3, 'count_974': 4, 'count_1101': 1, 'count_657': 1, 'count_889': 6, 'count_702': 2, 'count_182305705': 6, 'count_625': 4, 'count_945': 2, 'count_783': 1}"
35,AA0036,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,767,"{'count_1021': 14, 'count_943': 3, 'count_767': 25, 'count_648': 12, 'count_962': 8}"
36,AA0037,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,767,"{'count_962': 11, 'count_767': 15, 'count_648': 1}"
37,AA0038,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,1021,"{'count_1104': 8, 'count_907': 2, 'count_629': 28, 'count_362': 2, 'count_1020': 2, 'count_366': 9, 'count_262': 7, 'count_690': 2, 'count_685': 9, 'count_803': 2, 'count_189': 1, 'count_1096': 1}"
38,AA0039,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,1021,"{'count_767': 6, 'count_1021': 12, 'count_1108': 1, 'count_262': 3, 'count_560581551': 1, 'count_629': 19, 'count_575': 3, 'count_733': 8, 'count_1020': 30, 'count_6': 1, 'count_1104': 2, 'count_930': 1}"
39,AA0040,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,844,"{'count_844': 33, 'count_648': 9, 'count_767': 2, 'count_1021': 7, 'count_882': 1}"
40,AA0041,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,844,"{'count_907': 11, 'count_362': 14, 'count_629': 79, 'count_1096': 1, 'count_549': 5, 'count_1104': 2, 'count_189': 2, 'count_733': 10, 'count_1020': 31, 'count_685': 2, 'count_575': 2, 'count_262': 31, 'count_803': 4, 'count_6': 1, 'count_366': 8, 'count_690': 3, 'count_930': 1, 'count_718': 1, 'count_844': 15, 'count_648': 4}"
41,AA0042,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,844,"{'count_1090': 12, 'count_862': 4, 'count_1070': 5, 'count_1038': 7, 'count_484682516': 3, 'count_893': 1, 'count_831': 1, 'count_672': 13, 'count_1108': 2, 'count_844': 97, 'count_767': 11, 'count_648': 83, 'count_1021': 18, 'count_940': 1, 'count_882': 2, 'count_945': 14, 'count_182305705': 6, 'count_1128': 7, 'count_1111': 3, 'count_182305709': 5, 'count_625': 12, 'count_478': 1, 'count_440': 2, 'count_943': 1}"
42,AA0043,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,844,"{'count_1020': 31, 'count_629': 6, 'count_685': 3, 'count_575': 2, 'count_733': 1, 'count_718': 1, 'count_262': 5, 'count_803': 4, 'count_6': 3, 'count_844': 2}"
43,AA0044,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,1021,"{'count_648': 13, 'count_1128': 3, 'count_844': 1, 'count_1021': 21, 'count_767': 9, 'count_962': 4, 'count_656': 1}"
44,AA0045,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,844,"{'count_672': 10, 'count_952': 5, 'count_698': 10, 'count_703': 2, 'count_159': 7, 'count_900': 1, 'count_754': 2, 'count_342': 1, 'count_56': 2, 'count_579': 1, 'count_783': 3, 'count_1101': 1, 'count_638': 1, 'count_1108': 3, 'count_1102': 1, 'count_844': 2, 'count_484682512': 3, 'count_1021': 3}"
45,AA0046,2016-07-18 12:00:00,C57BL/6J,AAV2/1.FLEX-eGFP,eGFP,ccfv3_25um,648,"{'count_943': 162, 'count_320': 100, 'count_962': 6, 'count_648': 124, 'count_844': 22, 'count_945': 1, 'count_450': 34, 'count_182305693': 6, 'count_981': 4, 'count_656': 14}"
46,AA0047,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,907,"{'count_862': 109, 'count_1090': 3, 'count_893': 2, 'count_1102': 95, 'count_844': 42, 'count_945': 3, 'count_2': 2, 'count_484682516': 3}"
47,AA0048,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,629,"{'count_844': 9, 'count_648': 35, 'count_767': 1, 'count_882': 1, 'count_943': 1, 'count_831': 1, 'count_783': 1, 'count_672': 9, 'count_262': 13}"
48,AA0049,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,1020,"{'count_262': 6, 'count_1090': 66, 'count_1035': 87, 'count_806': 2, 'count_862': 15, 'count_484682512': 2, 'count_974': 18, 'count_1102': 9, 'count_648': 128, 'count_844': 22, 'count_950': 20, 'count_943': 14, 'count_672': 1}"
49,AA0050,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,907,"{'count_648': 112, 'count_767': 92, 'count_943': 18, 'count_1101': 108, 'count_783': 15, 'count_328': 9, 'count_962': 1, 'count_484682512': 1, 'count_672': 38, 'count_844': 1}"
50,AA0051,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,575,"{'count_1021': 9, 'count_844': 9, 'count_648': 39, 'count_767': 36, 'count_906': 7, 'count_943': 1, 'count_610': 6, 'count_274': 3, 'count_478': 3, 'count_1111': 12, 'count_312782562': 12, 'count_312782558': 5, 'count_774': 4, 'count_965': 2, 'count_434': 3, 'count_484682512': 2, 'count_945': 5, 'count_1128': 2, 'count_1086': 5, 'count_312782554': 1, 'count_625': 3, 'count_484682516': 1, 'count_672': 79, 'count_862': 6, 'count_6': 1, 'count_1022': 3, 'count_262': 5, 'count_1092': 2}"
51,AA0052,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,502,"{'count_56': 35, 'count_258': 1, 'count_310': 1, 'count_525': 10, 'count_606826651': 15, 'count_194': 2, 'count_980': 8, 'count_313': 4, 'count_946': 11, 'count_210': 1, 'count_606826647': 3, 'count_732': 21, 'count_606826655': 2, 'count_1097': 2, 'count_576073704': 7, 'count_118': 1, 'count_436': 1, 'count_129': 1}"
52,AA0053,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,1037,{'count_430': 79}
53,AA0054,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,362,"{'count_6': 1, 'count_672': 125, 'count_1021': 9, 'count_767': 106, 'count_484682512': 2, 'count_1101': 17, 'count_440': 1, 'count_630': 1, 'count_962': 25, 'count_656': 17, 'count_526157192': 34, 'count_667': 10, 'count_956': 2, 'count_940': 2, 'count_68': 1}"
54,AA0055,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,362,"{'count_672': 285, 'count_6': 1, 'count_262': 2, 'count_803': 1}"
55,AA0056,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,595,"{'count_313': 28, 'count_549009203': 1, 'count_749': 8, 'count_146': 6, 'count_397': 2, 'count_197': 1, 'count_863': 2, 'count_591': 2, 'count_872': 4, 'count_1043': 4, 'count_795': 6, 'count_128': 23, 'count_162': 2, 'count_898': 1, 'count_771': 25, 'count_679': 44, 'count_1093': 3, 'count_574': 14, 'count_930': 1}"
56,AA0057,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,466,"{'count_194': 1, 'count_596': 1, 'count_310': 1}"
57,AA0058,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,382,"{'count_443': 26, 'count_502': 4, 'count_382': 6, 'count_484682470': 22, 'count_466': 1}"
58,AA0059,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,630,"{'count_672': 269, 'count_956': 2, 'count_440': 2}"
59,AA0060,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,1021,"{'count_767': 139, 'count_1021': 45, 'count_783': 1, 'count_1101': 9, 'count_943': 2, 'count_526157196': 24, 'count_648': 12, 'count_328': 2, 'count_526157192': 16, 'count_667': 1, 'count_962': 4}"
60,AA0061,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,440,"{'count_440': 26, 'count_630': 168, 'count_526157192': 4, 'count_412': 144, 'count_767': 2, 'count_1101': 9, 'count_667': 5, 'count_448': 3, 'count_698': 3, 'count_328': 1}"
61,AA0062,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,1021,"{'count_1021': 14, 'count_844': 60, 'count_950': 1, 'count_648': 8, 'count_187': 4, 'count_638': 3, 'count_1102': 27, 'count_484682512': 11, 'count_783': 4, 'count_672': 21, 'count_956': 1, 'count_889': 9, 'count_862': 21, 'count_1090': 4, 'count_1108': 5, 'count_940': 1, 'count_945': 3, 'count_882': 2, 'count_1101': 1, 'count_2': 2, 'count_893': 1}"
62,AA0063,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,940,"{'count_484682512': 9, 'count_1026': 1, 'count_803': 2, 'count_559': 1, 'count_342': 1, 'count_1022': 1, 'count_672': 2, 'count_844': 16, 'count_882': 4, 'count_648': 12, 'count_940': 4, 'count_182305701': 1, 'count_182305705': 1, 'count_854': 2, 'count_889': 1, 'count_702': 2, 'count_1102': 3, 'count_974': 3, 'count_943': 11, 'count_320': 7, 'count_878': 1, 'count_657': 3, 'count_484682516': 1, 'count_849': 2, 'count_857': 1, 'count_1058': 1, 'count_685': 1, 'count_718': 11, 'count_733': 2, 'count_6': 1, 'count_1108': 1, 'count_1021': 9, 'count_950': 1, 'count_767': 11, 'count_962': 4, 'count_1085': 1, 'count_526157192': 5}"
63,AA0064,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,767,"{'count_767': 28, 'count_1021': 17, 'count_412': 31, 'count_448': 9, 'count_68': 1, 'count_440': 10, 'count_477': 1, 'count_672': 135, 'count_698': 2, 'count_630': 20, 'count_1038': 6, 'count_1070': 2, 'count_1108': 3, 'count_484682516': 2, 'count_962': 44, 'count_656': 7, 'count_1085': 3, 'count_940': 1, 'count_956': 1, 'count_484682512': 2, 'count_662': 1, 'count_783': 1, 'count_831': 1}"
64,AA0065,2016-10-31 12:00:00,C57BL/6J,AAV2/1.FLEX-tdTomato,tdTomato,ccfv3_25um,767,"{'count_672': 41, 'count_862': 2, 'count_1035': 1, 'count_806': 3, 'count_956': 4, 'count_878': 6, 'count_950': 2, 'count_657': 10, 'count_974': 4, 'count_844': 5, 'count_943': 90, 'count_320': 9, 'count_648': 9, 'count_328': 16, 'count_962': 17, 'count_1101': 3, 'count_656': 1, 'count_1085': 1, 'count_1021': 3, 'count_1108': 2, 'count_940': 1, 'count_857': 1, 'count_412': 7, 'count_448': 1, 'count_767': 6, 'count_625': 1}"
