,idstring,sample_date,sample_strain,virus_label,fluorophore_label,annotation_space,soma_atlas_id,axonal_endpoint_dict
839,AA0840,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_767': 32, 'count_672': 159, 'count_940': 1, 'count_477': 2, 'count_303': 2, 'count_131': 2, 'count_908': 2, 'count_287': 3, 'count_1009': 3, 'count_436': 3, 'count_484682516': 14, 'count_977': 1, 'count_314': 1, 'count_1058': 1, 'count_638': 3, 'count_1090': 9, 'count_862': 3, 'count_882': 1, 'count_873': 9, 'count_981': 2, 'count_806': 2, 'count_527': 2, 'count_648': 9, 'count_844': 10, 'count_1021': 29, 'count_478': 2, 'count_440': 2, 'count_526157196': 1, 'count_312782620': 2, 'count_9': 1}"
840,AA0841,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_320': 1, 'count_656': 7, 'count_962': 19, 'count_767': 10, 'count_1021': 2, 'count_484682516': 4, 'count_1102': 1, 'count_672': 39, 'count_630': 10, 'count_783': 2, 'count_159': 1, 'count_440': 1, 'count_910': 2, 'count_583': 1, 'count_412': 2, 'count_56': 2, 'count_526': 30, 'count_543': 4, 'count_None': 13, 'count_1121': 1, 'count_20': 1, 'count_139': 1, 'count_526157192': 4, 'count_667': 6, 'count_68': 9}"
841,AA0842,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_767': 24, 'count_962': 25, 'count_1015': 10, 'count_672': 155, 'count_484682516': 12, 'count_956': 1, 'count_1108': 1, 'count_211': 2, 'count_919': 2, 'count_9': 2, 'count_945': 1, 'count_965': 3, 'count_774': 2, 'count_844': 3, 'count_940': 1, 'count_56': 1, 'count_1125': 4, 'count_526157192': 7, 'count_412': 1, 'count_667': 1, 'count_288': 1, 'count_1021': 2, 'count_442': 3, 'count_434': 2, 'count_610': 3}"
842,AA0843,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,502,"{'count_502': 8, 'count_1037': 39, 'count_1084': 37, 'count_10703': 6}"
843,AA0844,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,919,"{'count_1096': 7, 'count_599': 4, 'count_362': 37, 'count_595': 3, 'count_575': 1, 'count_262': 3, 'count_1113': 2, 'count_1120': 1, 'count_549': 2, 'count_930': 4, 'count_149': 2, 'count_629': 5, 'count_685': 2}"
844,AA0845,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,772,"{'count_484682516': 1, 'count_772': 9, 'count_810': 6, 'count_363': 5, 'count_84': 5, 'count_132': 2, 'count_1015': 1, 'count_919': 1, 'count_940': 3, 'count_622': 1, 'count_330': 1, 'count_274': 2, 'count_697': 2, 'count_313': 6, 'count_633': 1, 'count_42': 2, 'count_26': 2, 'count_795': 2, 'count_820': 1, 'count_811': 2, 'count_616': 1, 'count_898': 2, 'count_679': 1, 'count_867': 1, 'count_771': 1, 'count_146': 3, 'count_803': 1, 'count_797': 20, 'count_102': 2, 'count_63': 2, 'count_1077': 3, 'count_1097': 1, 'count_672': 5, 'count_814': 4, 'count_819': 1, 'count_956': 1, 'count_1125': 2, 'count_620': 2, 'count_910': 1, 'count_583': 23, 'count_579': 1, 'count_783': 1}"
845,AA0846,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_919': 1, 'count_1020': 2, 'count_549': 3, 'count_930': 1, 'count_575': 10, 'count_362': 17, 'count_907': 3, 'count_629': 12, 'count_262': 10, 'count_1113': 3, 'count_599': 3, 'count_1120': 1, 'count_255': 1, 'count_1096': 1}"
846,AA0847,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,502,"{'count_502': 3, 'count_64': 62, 'count_155': 15, 'count_1113': 1, 'count_575': 9, 'count_549': 3, 'count_1096': 1, 'count_802': 2, 'count_997': 1, 'count_255': 5}"
847,AA0848,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,502,"{'count_255': 73, 'count_1104': 5, 'count_436': 1, 'count_310': 1, 'count_258': 1}"
848,AA0849,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,502,"{'count_255': 60, 'count_64': 19, 'count_155': 6, 'count_802': 1, 'count_1113': 4, 'count_362': 1, 'count_575': 1, 'count_1096': 1}"
849,AA0850,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,502,"{'count_502': 25, 'count_484682470': 47, 'count_382': 49, 'count_423': 5, 'count_463': 3, 'count_52': 1, 'count_20': 5}"
850,AA0851,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,382,"{'count_436': 1, 'count_581': 1, 'count_310': 2, 'count_382': 3, 'count_502': 7, 'count_484682470': 11, 'count_10703': 1}"
851,AA0852,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,588,"{'count_296': 2, 'count_588': 2, 'count_772': 10, 'count_634': 1, 'count_17': 7, 'count_795': 18, 'count_42': 2, 'count_26': 2, 'count_313': 3, 'count_10': 1, 'count_470': 1, 'count_1097': 7, 'count_549': 1, 'count_414': 1, 'count_88': 9, 'count_830': 2, 'count_194': 1, 'count_576073704': 1, 'count_102': 1, 'count_946': 1, 'count_797': 1, 'count_363': 2}"
852,AA0853,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_767': 20, 'count_935': 5, 'count_692': 4, 'count_988': 2, 'count_52': 2, 'count_139': 1, 'count_977': 4, 'count_888': 1, 'count_836': 6, 'count_427': 2, 'count_583': 3, 'count_783': 2, 'count_638': 1, 'count_484682520': 2, 'count_735': 13, 'count_959': 1, 'count_484682512': 2, 'count_672': 48, 'count_1108': 1, 'count_620': 1, 'count_707': 4, 'count_84': 1, 'count_962': 14, 'count_211': 13, 'count_656': 11, 'count_940': 1, 'count_1085': 1, 'count_484682516': 2, 'count_927': 1, 'count_1038': 1, 'count_477': 5, 'count_440': 2, 'count_1021': 6, 'count_526157196': 1, 'count_56': 6, 'count_969': 7, 'count_1125': 8, 'count_1022': 1, 'count_704': 5, 'count_694': 16, 'count_956': 1, 'count_1037': 11, 'count_1089': 1, 'count_442': 3, 'count_610': 1, 'count_965': 1, 'count_698': 2, 'count_605': 3, 'count_159': 2, 'count_597': 1, 'count_412': 4, 'count_630': 1, 'count_1015': 2}"
853,AA0854,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_767': 1, 'count_1021': 1, 'count_575': 4, 'count_560581551': 2, 'count_629': 7, 'count_685': 12, 'count_362': 16, 'count_262': 3, 'count_930': 1, 'count_797': 1}"
854,AA0855,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,502,"{'count_10703': 4, 'count_502': 2, 'count_255': 132, 'count_155': 23, 'count_802': 1, 'count_262': 2, 'count_310': 1, 'count_477': 3, 'count_258': 3}"
855,AA0856,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,919,"{'count_919': 5, 'count_218': 11, 'count_1020': 6, 'count_155': 7, 'count_575': 14, 'count_629': 8, 'count_262': 4, 'count_255': 3, 'count_560581551': 5, 'count_1096': 5, 'count_1120': 1, 'count_1113': 1, 'count_362': 1, 'count_181': 11, 'count_690': 5, 'count_549': 1, 'count_366': 6, 'count_1077': 3, 'count_685': 1, 'count_560581559': 1, 'count_1097': 1}"
856,AA0857,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,305,"{'count_155': 18, 'count_1020': 1, 'count_218': 8, 'count_733': 1, 'count_718': 2, 'count_262': 3, 'count_484682520': 1, 'count_778': 5, 'count_721': 2, 'count_33': 3}"
857,AA0858,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_767': 11, 'count_962': 13, 'count_1021': 4, 'count_656': 6, 'count_484682516': 2, 'count_672': 37, 'count_1102': 1, 'count_940': 1, 'count_1035': 3, 'count_1038': 5, 'count_1070': 7, 'count_1090': 2, 'count_873': 7, 'count_981': 42, 'count_201': 15, 'count_806': 3, 'count_1047': 3}"
858,AA0859,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,962,"{'count_962': 73, 'count_656': 6, 'count_767': 63, 'count_1015': 5, 'count_1021': 2, 'count_526157192': 1, 'count_363': 3, 'count_84': 1, 'count_667': 2, 'count_320': 1}"
859,AA0860,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,1037,"{'count_52': 6, 'count_139': 54, 'count_727': 3, 'count_20': 7, 'count_1121': 1, 'count_664': 2, 'count_1089': 1, 'count_502': 5}"
860,AA0861,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,1037,"{'count_139': 76, 'count_52': 25, 'count_20': 1, 'count_727': 7, 'count_1089': 1, 'count_1037': 1, 'count_502': 6}"
861,AA0862,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,484682516,"{'count_940': 13, 'count_1021': 98, 'count_919': 30, 'count_767': 20, 'count_484682516': 21, 'count_844': 34, 'count_882': 3, 'count_1085': 8, 'count_962': 30, 'count_656': 11, 'count_927': 2, 'count_1015': 5}"
862,AA0863,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,767,"{'count_629': 30, 'count_685': 9, 'count_362': 12, 'count_907': 4, 'count_599': 4, 'count_262': 5, 'count_575': 2, 'count_733': 1}"
863,AA0864,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,382,"{'count_382': 15, 'count_484682470': 41, 'count_502': 5, 'count_581': 3, 'count_258': 6, 'count_477': 1, 'count_310': 1, 'count_466': 1}"
864,AA0865,2018-07-02 18:52:28,C57BL/6N,AAV2/1 Syn-iCre + AAV2/1 CAG-Flex GFP ,anti-GFP,ccfv3_25um,962,"{'count_1101': 20, 'count_783': 6, 'count_956': 6, 'count_831': 1, 'count_583': 2, 'count_672': 2, 'count_625': 1, 'count_945': 2, 'count_844': 3, 'count_182305709': 1, 'count_1021': 24, 'count_484682512': 1, 'count_1085': 1, 'count_767': 44, 'count_608': 1, 'count_940': 1, 'count_910': 1, 'count_303': 27, 'count_311': 3, 'count_477': 1, 'count_977': 1, 'count_988': 13, 'count_427': 3, 'count_1106': 3, 'count_1058': 1, 'count_857': 1, 'count_962': 47, 'count_656': 1}"
